标的代码,市场,策略ID,周期,方向,入场时间(UTC),出场时间(UTC),入场价,出场价,收益率,持仓K线数,模型概率,回归预测,短周期预测,综合评分
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-06-07T00:00:00.000Z,2025-06-09T00:00:00.000Z,2353.406488826535,2483.3480224205027,-0.05701423273493202,2,0.17345655069473273,-0.0033369892410946,-0.00019465119999893715,0.6200071974285492
ETHUSDT,加密现货,MOM_TIGHT,1d,做空,2025-06-07T00:00:00.000Z,2025-06-09T00:00:00.000Z,2351.215547303102,2466.0325187960025,-0.05083302665491392,2,0.1734544990836214,-0.0033067808665667763,-0.00018665876797016917,0.6195670075923267
ETHUSDT,加密现货,MOM_FAST,1d,做空,2025-06-07T00:00:00.000Z,2025-06-09T00:00:00.000Z,2351.215547303102,2478.789960072991,-0.05605891850545978,2,0.1734544990836214,-0.0033067808665667763,-0.00018665876797016917,0.6197670075923267
ETHUSDT,加密现货,CR_CARRY,1d,做空,2025-06-07T00:00:00.000Z,2025-06-09T00:00:00.000Z,2351.215547303102,2478.789960072991,-0.056658918505459774,2,0.1734544990836214,-0.0033067808665667763,-0.00018665876797016917,0.6191670075923268
ETHUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-06-08T00:00:00.000Z,2025-06-09T00:00:00.000Z,2339.342380935791,2451.817862801779,-0.05007995733441775,1,0.17390227159898256,-0.006896247632716873,-0.0009028674262384176,0.6479603455104676
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-06-08T00:00:00.000Z,2025-06-09T00:00:00.000Z,2339.342380935791,2464.3151385646665,-0.0552221748160197,1,0.17390227159898256,-0.006896247632716873,-0.0009028674262384176,0.6481603455104675
ETHUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-06-08T00:00:00.000Z,2025-06-09T00:00:00.000Z,2339.342380935791,2489.3096900904416,-0.0657066097792236,1,0.17390227159898256,-0.006896247632716873,-0.0009028674262384176,0.6483603455104675
ETHUSDT,加密现货,MOM_TIGHT,1d,做空,2025-06-08T00:00:00.000Z,2025-06-09T00:00:00.000Z,2337.432145339216,2447.523357457156,-0.04909921198673494,1,0.17467260091153167,-0.00686375689854812,-0.001509180040249531,0.6471457825320821
ETHUSDT,加密现货,MOM_FAST,1d,做空,2025-06-08T00:00:00.000Z,2025-06-09T00:00:00.000Z,2337.432145339216,2459.7557143591494,-0.05413245776303874,1,0.17467260091153167,-0.00686375689854812,-0.001509180040249531,0.6473457825320821
ETHUSDT,加密现货,CR_CARRY,1d,做空,2025-06-08T00:00:00.000Z,2025-06-09T00:00:00.000Z,2337.432145339216,2459.7557143591494,-0.054732457763038735,1,0.17467260091153167,-0.00686375689854812,-0.001509180040249531,0.6467457825320821
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-06-09T00:00:00.000Z,2025-06-10T00:00:00.000Z,2498.636122828306,2629.1627168874943,-0.05403913673009747,1,0.21054375603487277,-0.0015433894733462993,0.0006767220675902463,0.578955611441662
