symbol,market,strategy_id,timeframe,direction,entryDate,exitDate,entry,exit,pnl,holdDays,prob,regPred,tsPred,score
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-14T00:00:00.000Z,2025-12-21T00:00:00.000Z,2883.6548461351463,2825.7840774260267,0.03728236120176746,7,0.1703430387896204,-0.007336880104278881,-0.0029808050428485906,0.6544480529057043
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-16T00:00:00.000Z,2025-12-23T00:00:00.000Z,87200.3430518301,86839.63236914475,0.0025365741241517477,7,0.18488489583433473,-0.004140493109348295,-0.0012381735172663632,0.6184068198740652
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-16T00:00:00.000Z,2025-12-23T00:00:00.000Z,2788.395870966589,2790.9561912477993,0.02810860719182778,7,0.18223114668304385,-0.0035184390781040848,-0.002755727805440318,0.6153410870130411
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-16T00:00:00.000Z,2025-12-23T00:00:00.000Z,87285.26852306392,86910.33199036379,0.0026955304949432216,7,0.18439125280214758,-0.002507601038697853,-0.000652854691731222,0.6056991062920364
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-17T00:00:00.000Z,2025-12-22T00:00:00.000Z,85587.22263851076,89952.94500396425,-0.05260904353320016,5,0.16945128884887012,-0.003853204383965315,-0.0003275187467206325,0.6272207071005359
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-17T00:00:00.000Z,2025-12-24T00:00:00.000Z,85675.72962666006,87092.57486812287,-0.018137299975580556,7,0.17082086399841234,-0.0022710427891048253,0.000229818110166474,0.6135773202339816
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-19T00:00:00.000Z,2025-12-26T00:00:00.000Z,2804.5861315683596,2756.100066242941,0.01568813559322017,7,0.1954364716579407,-0.0017513829372309852,-0.004200623630032188,0.5916968039041305
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-20T00:00:00.000Z,2025-12-27T00:00:00.000Z,2803.1082996413375,2775.9237225379,0.008098011706117665,7,0.19174730908216586,-0.004087174305937483,-0.0030348378027192833,0.6130393319083404
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-23T00:00:00.000Z,2025-12-30T00:00:00.000Z,86839.63236914475,87824.86003341309,-0.012945368898848621,7,0.17133455400757183,-0.005583115714131621,-0.000801296085496074,0.6397040468276012
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-23T00:00:00.000Z,2025-12-30T00:00:00.000Z,86910.33199036379,87903.24523043704,-0.013024570788468953,7,0.17178763013213513,-0.004035619791211874,-0.00024330328346267743,0.6269978646345576
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-25T00:00:00.000Z,2025-12-31T00:00:00.000Z,2733.4713531693033,2797.187558991039,-0.02490962998674218,6,0.18517466592462764,-0.0028446110493889967,-0.0010394362002858603,0.6078311289293801
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-26T00:00:00.000Z,2025-12-31T00:00:00.000Z,86794.65817904589,87071.48456398101,-0.004789440349705213,5,0.1888279120337105,-0.0027203652212441968,-0.000549422866377215,0.6042068251056819
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-27T00:00:00.000Z,2025-12-31T00:00:00.000Z,87203.4209574627,86983.79749748472,0.0009185188558728269,4,0.18606546367483612,-0.0064516210133628285,-0.001962386538237747,0.6360458342610206
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-27T00:00:00.000Z,2025-12-31T00:00:00.000Z,87298.7690992904,87071.48456398101,0.001003525085799115,4,0.18589984886605465,-0.00487196389467162,-0.0013954488237279278,0.6235278199738136
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-27T00:00:00.000Z,2025-12-31T00:00:00.000Z,2775.9237225379,2797.187558991039,-0.009260093928553065,4,0.19258875985912147,-0.0042965256399413575,-0.0030013749643078005,0.6141082980209633
