symbol,market,strategy_id,timeframe,direction,entryDate,exitDate,entry,exit,pnl,holdDays,prob,regPred,tsPred,score
ETHUSDT,CRYPTO,MOM_FAST,1d,SHORT,2025-09-14T00:00:00.000Z,2025-09-18T00:00:00.000Z,4235.275389882522,4219.794916515933,0.018808174198237763,4,0.22293831473357825,-0.004678432444954206,-0.002618559395695368,0.5951118729514573
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-15T00:00:00.000Z,2025-09-22T00:00:00.000Z,4167.36269702466,3806.5024958900804,0.06334398748737778,7,0.23786915099268843,-0.007294392035198401,-0.0014903253829967034,0.6054893475668515
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-17T00:00:00.000Z,2025-09-22T00:00:00.000Z,4228.893311296206,3875.8411791869535,0.06101427744574111,5,0.2463061259233539,-0.00878888386317214,-0.004085769423524347,0.6113706602405623
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-18T00:00:00.000Z,2025-09-22T00:00:00.000Z,4226.137521352049,3886.3414533171713,0.05870259302698369,4,0.26229788698125095,-0.006063879167821879,-0.001723936875962073,0.5780565547160743
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-19T00:00:00.000Z,2025-09-22T00:00:00.000Z,4116.62482531033,3776.54401275213,0.06035867251503115,3,0.20409268821517748,-0.013351951909884072,-0.005637106315626227,0.6782688797641447
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-19T00:00:00.000Z,2025-09-25T00:00:00.000Z,114745.81129261357,109939.7614847298,0.029813236921746002,6,0.18017002935062892,-0.0062374358801253185,-0.002202627750769793,0.6385770659085496
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-09-19T00:00:00.000Z,2025-09-22T00:00:00.000Z,4110.272637029321,3775.654206226525,0.059457707180096034,3,0.20464122757586575,-0.005664952616388052,-0.00286810735831566,0.616377937076481
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-09-19T00:00:00.000Z,2025-09-25T00:00:00.000Z,114871.50555101273,110128.7169931031,0.029365829179043648,6,0.180875994581383,-0.004092886630063219,-0.0014359942786528444,0.6209123769419098
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-20T00:00:00.000Z,2025-09-22T00:00:00.000Z,4127.482084688983,3804.4339579957204,0.05710070179558493,2,0.25410274876305483,-0.007577257699265076,-0.0015529737823268184,0.5960640824847211
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-21T00:00:00.000Z,2025-09-25T00:00:00.000Z,114362.95954682917,110033.80495137909,0.026790887744191614,4,0.17388602736647701,-0.005600147615941422,-0.0019106400956144123,0.6380032412236678
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-21T00:00:00.000Z,2025-09-22T00:00:00.000Z,4094.9840400632384,3787.5057615586747,0.05471492250574473,1,0.24247244736856927,-0.006140861258303402,-0.0002805042574766814,0.5929467279610573
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-09-21T00:00:00.000Z,2025-09-25T00:00:00.000Z,114474.04818953747,110201.04065182435,0.026395477612346164,4,0.1773836983261668,-0.0034672497039200047,-0.0011314906520787109,0.61842173483652
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-22T00:00:00.000Z,2025-09-29T00:00:00.000Z,111802.14206050355,113442.7650499594,0.0012809064074200689,7,0.16492681164443052,-0.005012858348314433,-0.001696226637518353,0.6397555624025254
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-22T00:00:00.000Z,2025-09-25T00:00:00.000Z,3868.1152458310466,3522.9374417158024,0.06532751808919111,3,0.21031648918840543,-0.006252994649708733,0.0012076706737184902,0.6169960849820179
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-09-22T00:00:00.000Z,2025-09-29T00:00:00.000Z,111909.73344241535,113559.77406749861,0.0010263764143376593,7,0.16378045561930135,-0.0028930186211616037,-0.0009413125509260853,0.6236222209233958
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-23T00:00:00.000Z,2025-09-30T00:00:00.000Z,3836.216285975771,3818.2437428617036,0.02263972557414532,7,0.22197763893629463,-0.0070234426030119975,-0.0017005559121966258,0.6147636407899637
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-23T00:00:00.000Z,2025-09-30T00:00:00.000Z,111149.12962999938,113852.47204535929,-0.0036268133035611385,7,0.17008438619434982,-0.005121966069130662,-0.003491366903850252,0.6369149704931134
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-09-23T00:00:00.000Z,2025-09-30T00:00:00.000Z,111261.83492812968,113911.44256210426,-0.003584513704157165,7,0.16989137735926854,-0.0030247875279569405,-0.0027497519452527757,0.6202765085249822
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-24T00:00:00.000Z,2025-10-01T00:00:00.000Z,3825.395893352225,4005.4346919112995,-0.0035798191578036214,7,0.20445748882257642,-0.009430925810725653,-0.004239984865215534,0.6466380145335502
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-09-24T00:00:00.000Z,2025-10-01T00:00:00.000Z,3819.8137018123693,3999.3798343510134,-0.004389486489883818,7,0.1998025139697001,-0.004546448166300011,-0.002511698027684731,0.6109137752722159
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-27T00:00:00.000Z,2025-09-30T00:00:00.000Z,3702.3530981866857,3903.7375570427785,-0.05599363926545136,3,0.20112230362629385,-0.006904136597897616,-0.002694480671861171,0.6288250341722492
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-09-27T00:00:00.000Z,2025-09-29T00:00:00.000Z,3696.1630758664105,3891.6322892341814,-0.05448435855118521,2,0.20113386703132652,-0.00321997766484753,-0.0013897520569558525,0.5993434370562252
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-30T00:00:00.000Z,2025-10-02T00:00:00.000Z,3818.2437428617036,4015.371752556783,-0.053227927123200285,2,0.21729332721088082,-0.00452651155482326,-0.002022864874716515,0.5981608968467518
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-10-01T00:00:00.000Z,2025-10-03T00:00:00.000Z,4005.4346919112995,4207.083514107888,-0.05194380478198889,2,0.22209692279094784,-0.0077477148280780716,-0.0064769530084548155,0.620471934215142
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-10-01T00:00:00.000Z,2025-10-03T00:00:00.000Z,3999.3798343510134,4195.95370664762,-0.050751088528330435,2,0.22162333006938933,-0.0024979702622988575,-0.004625864507669135,0.5788149644484305
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-10-03T00:00:00.000Z,2025-10-06T00:00:00.000Z,4157.749690630828,4358.326034241736,-0.04984156299329219,3,0.24981906595925704,-0.0069918414779344025,-0.00319317634484369,0.59446500433281
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-10-04T00:00:00.000Z,2025-10-06T00:00:00.000Z,4133.491365771225,4325.887042439703,-0.048145561522560644,2,0.2220378650578455,-0.00942439445400016,-0.0036012802897383905,0.6339278927903524
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-10-07T00:00:00.000Z,2025-10-10T00:00:00.000Z,120422.0650028042,114704.5155188096,0.03400943846043578,3,0.16869696048625193,-0.005531134367425821,0.001215602115625789,0.6411872633893051
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-10-07T00:00:00.000Z,2025-10-10T00:00:00.000Z,120534.56514036769,114918.42614980738,0.03334519798544972,3,0.16928527658489162,-0.003255558210321614,0.001999082747237096,0.6225590665414509
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-10-08T00:00:00.000Z,2025-10-10T00:00:00.000Z,4169.325851734042,3826.4579533602755,0.060076859263320605,2,0.2513626225932377,-0.005010444953206528,-0.0014714490199641689,0.5775024713585211
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-10-09T00:00:00.000Z,2025-10-10T00:00:00.000Z,4023.849636086636,3670.3698843424218,0.06428462238514245,1,0.20053178670263175,-0.007302942629721448,-0.0010040984710752072,0.6324406546118767
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-10-11T00:00:00.000Z,2025-10-12T00:00:00.000Z,3539.0689833512047,3815.531315308522,-0.07971724870520343,1,0.1669497436578547,-0.005647133651652538,-0.002117455636919926,0.6433732537795649
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-10-11T00:00:00.000Z,2025-10-12T00:00:00.000Z,3526.8317744249066,3797.1242601897047,-0.07823889378700878,1,0.1654493814198829,-0.002497956847665516,-0.0008427135417393872,0.6192601001590083
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-10-12T00:00:00.000Z,2025-10-19T00:00:00.000Z,3921.79976187324,3761.714344881555,0.05044757304901767,7,0.1793574382733586,-0.006504627648880942,-0.008790709516931004,0.6412996656342294
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-10-12T00:00:00.000Z,2025-10-19T00:00:00.000Z,3908.526581053861,3748.77953880232,0.04991795706676996,7,0.18115040715775946,-0.0013583730068675772,-0.006937201374578544,0.5988386909013537
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-10-13T00:00:00.000Z,2025-10-17T00:00:00.000Z,4006.5769918515407,3510.7645100576624,0.09121223400965096,4,0.22658520836585525,-0.006666692546951507,-0.003741560427526922,0.6085921903521962
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-10-20T00:00:00.000Z,2025-10-27T00:00:00.000Z,3758.8320513642902,3892.0129121472787,0.012336861873448724,7,0.203655509224433,-0.0014903044730490173,-0.0027206896937756186,0.5836904691428003
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-10-22T00:00:00.000Z,2025-10-26T00:00:00.000Z,3594.7681243045104,3875.9729295036195,-0.07982613183249883,4,0.17796804705630506,-0.0005637982246912161,-0.002072241001102299,0.59477339191699
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-10-22T00:00:00.000Z,2025-10-26T00:00:00.000Z,3582.123396968396,3857.5896341963153,-0.0785002646477926,4,0.17389481254336747,-0.001370643844294723,-0.002383534102785148,0.6041608857231331
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-10-23T00:00:00.000Z,2025-10-26T00:00:00.000Z,3643.228455965276,3915.5666830434093,-0.07635189392315417,3,0.1801016698338205,-0.003686210714319522,-0.005325865361041611,0.6182164834342053
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-10-23T00:00:00.000Z,2025-10-26T00:00:00.000Z,3630.383551680767,3897.3336133912617,-0.07513219237314582,3,0.1793740108490472,-0.003702879538303446,-0.005358876402724775,0.6188737484951136
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-10-29T00:00:00.000Z,2025-11-04T00:00:00.000Z,3673.8619317502894,3262.949447071312,0.08228566833332486,6,0.19606733256354794,-0.002458338069822961,-0.000806743065926503,0.5968982251128291
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-10-30T00:00:00.000Z,2025-11-04T00:00:00.000Z,3581.7092275111413,3164.0100047434544,0.08586506128121775,5,0.1916621665642688,-0.002168023322851191,-0.00030223414060673824,0.5977474266565359
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-11-01T00:00:00.000Z,2025-11-04T00:00:00.000Z,109262.86991360618,101920.79148252605,0.04879734749475383,3,0.18886809182791656,-0.004444322521075156,-0.001184090957502722,0.6179695540525013
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-11-03T00:00:00.000Z,2025-11-04T00:00:00.000Z,105784.63797420794,98443.20050964116,0.050449883649151046,1,0.16481515753471285,-0.004996398603700258,-0.00046633029761618836,0.6397042754046087
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-11-03T00:00:00.000Z,2025-11-04T00:00:00.000Z,3404.083145316421,3008.01969190934,0.08566214295441342,1,0.1709567379283068,-0.002678049953096638,0.0020313411892303066,0.6167355483163921
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-11-03T00:00:00.000Z,2025-11-04T00:00:00.000Z,105881.71125599778,98644.8195602473,0.049661626842146554,1,0.16416029179643113,-0.0029538677207227924,0.0002378854282064721,0.6238355316723518
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-11-11T00:00:00.000Z,2025-11-18T00:00:00.000Z,3217.1177368783597,2783.1336864246305,0.09957380352890814,7,0.15824979661227606,-0.0010697407967768732,0.00013253907614151647,0.6130180728133763
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-11-24T00:00:00.000Z,2025-12-01T00:00:00.000Z,2779.999526514972,2634.7484152673424,0.06159733579320489,7,0.17446977682519332,-0.0024270817455957954,-0.004815845466983927,0.6121984146506271
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-11-29T00:00:00.000Z,2025-12-03T00:00:00.000Z,2813.679033743539,3023.060531932251,-0.0078012965846988745,4,0.16516667915863217,-0.006321001702445637,-0.002223394761298244,0.6500480046253498
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-11-30T00:00:00.000Z,2025-12-03T00:00:00.000Z,2815.655751607709,3016.352061656544,-0.007539892507995648,3,0.19553943596266626,-0.004450020354379362,-0.0003686686667183385,0.6132117689419151
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-01T00:00:00.000Z,2025-12-02T00:00:00.000Z,2634.7484152673424,2843.977076404183,-0.08101124849888594,1,0.1564016561579069,-0.004793693380074898,0.0015416938178360023,0.6441403546069062
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-02T00:00:00.000Z,2025-12-09T00:00:00.000Z,90598.74801933757,91978.14617913602,-0.01682535564734329,7,0.17279081251189765,-0.007271231180923394,-0.002598934544047042,0.6521604644388207
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-02T00:00:00.000Z,2025-12-04T00:00:00.000Z,2820.183376810879,3034.764395339544,-0.07768761199469151,2,0.19332805239652587,-0.00661584323053835,-0.005701880665728307,0.6321305481188081
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-02T00:00:00.000Z,2025-12-09T00:00:00.000Z,90677.26098091796,92068.96276511131,-0.016947858648776612,7,0.17377583318728868,-0.005625458029307305,-0.0019998105940320023,0.6382850643396105
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-03T00:00:00.000Z,2025-12-10T00:00:00.000Z,3001.184842573349,3218.9479861140144,-0.007646588124451763,7,0.20787072283419883,-0.005751689962544767,-0.004452063273644677,0.614746599259735
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-04T00:00:00.000Z,2025-12-11T00:00:00.000Z,91378.74887900622,91818.3929480761,0.01707969320403271,7,0.1699613261600527,-0.013185855994819617,-0.0018855781141725117,0.7015146931233189
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-04T00:00:00.000Z,2025-12-11T00:00:00.000Z,91472.17570386846,91904.6312478646,0.016958754499784245,7,0.1701565823448365,-0.01153345140287204,-0.0012898292274032368,0.6881548719346939
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-05T00:00:00.000Z,2025-12-09T00:00:00.000Z,88652.12163763393,93345.08625035732,-0.05453685617481222,4,0.16182298544757462,-0.010268427484707028,0.0005590767614133967,0.6840348703554024
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-05T00:00:00.000Z,2025-12-09T00:00:00.000Z,88742.23799365014,93402.14872936485,-0.05411062899775133,4,0.16616794234740814,-0.008657099706283486,0.0011322757876300225,0.6680158791601339
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-06T00:00:00.000Z,2025-12-09T00:00:00.000Z,88561.37306511139,93037.18133066458,-0.05213905682178756,3,0.18012009745580487,-0.007765525192003037,0.001875269666174434,0.6508377313678447
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-06T00:00:00.000Z,2025-12-09T00:00:00.000Z,2859.708321152062,3066.469005545743,-0.07390131928643177,3,0.1912070058158495,-0.005970390992119897,-0.001867662392135927,0.6284940837495474
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-06T00:00:00.000Z,2025-12-09T00:00:00.000Z,88649.60158944716,93094.33583345557,-0.05173823146766971,3,0.17968840568997313,-0.006164677706645294,0.002445356965203044,0.6383417695563816
